Frame,Visibility,X,Y,Radius
202,1,675,213,16
203,1,671,202,16
204,1,671,198,17
205,1,667,195,17
206,1,667,183,17
207,1,660,191,16
208,0,-1,-1,0
209,0,-1,-1,0
210,0,-1,-1,0
211,0,-1,-1,0
212,0,-1,-1,0
213,0,-1,-1,0
214,0,-1,-1,0
215,0,-1,-1,0
216,0,-1,-1,0
217,0,-1,-1,0
218,0,-1,-1,0
219,0,-1,-1,0
220,0,-1,-1,0
221,0,-1,-1,0
222,0,-1,-1,0
223,0,-1,-1,0
224,0,-1,-1,0
225,1,633,165,17
226,1,633,165,17
227,1,630,165,18
228,1,633,168,18
229,1,630,168,18
230,1,633,180,18
231,0,-1,-1,0
232,0,-1,-1,0
233,0,-1,-1,0
234,1,622,202,18
235,1,622,210,18
236,1,618,217,18
237,1,618,221,18
238,1,615,232,18
239,1,615,236,18
240,1,615,243,18
241,1,615,262,18
242,1,615,266,18
243,1,607,281,18
244,1,611,288,18
245,1,607,300,18
246,1,603,311,18
247,1,603,322,18
248,1,603,333,18
249,1,603,345,19
250,1,603,356,19
251,1,600,363,19
252,1,603,386,19
253,1,603,393,20
254,1,596,408,19
255,1,596,423,19
256,1,596,435,19
257,1,596,453,18
258,1,596,465,18
259,1,592,480,21
260,0,-1,-1,0
261,0,-1,-1,0
262,0,-1,-1,0
263,0,-1,-1,0
264,0,-1,-1,0
265,0,-1,-1,0
266,0,-1,-1,0
267,0,-1,-1,0
268,0,-1,-1,0
269,1,573,435,24
270,1,562,420,29
271,1,558,401,28
272,1,558,382,26
273,1,555,367,24
274,1,547,341,21
275,1,540,333,20
276,1,536,322,19
277,1,532,307,19
278,1,525,296,19
279,1,521,277,19
280,1,517,262,19
281,1,510,247,20
282,1,506,232,20
283,1,506,225,20
284,1,498,210,20
285,1,487,198,20
286,1,487,187,19
287,1,480,180,20
288,1,476,165,19
289,1,476,161,19
290,1,465,150,18
291,1,461,142,19
292,1,453,131,19
293,1,453,123,19
294,1,450,123,21
295,0,-1,-1,0
296,1,431,97,20
297,0,-1,-1,0
298,1,431,101,21
299,1,423,97,21
300,0,-1,-1,0
301,0,-1,-1,0
302,0,-1,-1,0
303,0,-1,-1,0
304,0,-1,-1,0
305,0,-1,-1,0
306,0,-1,-1,0
307,0,-1,-1,0
308,1,393,63,20
309,1,393,63,20
310,1,393,63,20
311,0,-1,-1,0
312,0,-1,-1,0
313,0,-1,-1,0
314,0,-1,-1,0
315,0,-1,-1,0
316,0,-1,-1,0
317,1,375,78,20
318,1,375,78,20
319,1,592,536,21
320,0,-1,-1,0
321,0,-1,-1,0
322,0,-1,-1,0
323,0,-1,-1,0
324,1,360,108,21
325,1,360,112,21
326,1,360,116,20
327,1,360,120,20
328,0,-1,-1,0
329,1,352,146,20
330,1,352,146,19
331,0,-1,-1,0
332,1,356,165,19
333,1,401,386,22
334,1,348,180,21
335,1,348,187,20
336,1,345,198,19
337,1,348,210,18
338,1,345,213,18
339,1,348,225,18
340,1,348,236,18
341,1,345,240,18
342,1,345,262,18
343,1,345,270,18
344,1,345,277,18
345,1,345,292,18
346,1,345,303,18
347,1,348,322,18
348,1,345,341,21
349,1,341,352,22
350,1,236,363,21
351,1,183,386,19
352,1,135,408,17
353,1,56,435,18
354,1,22,446,18
355,1,405,543,19
356,0,-1,-1,0
357,0,-1,-1,0
358,0,-1,-1,0
359,1,360,607,20
360,0,-1,-1,0
361,0,-1,-1,0
362,0,-1,-1,0
363,0,-1,-1,0
364,0,-1,-1,0
365,0,-1,-1,0
366,0,-1,-1,0
367,0,-1,-1,0
368,0,-1,-1,0
369,0,-1,-1,0
370,0,-1,-1,0
371,0,-1,-1,0
372,0,-1,-1,0
373,0,-1,-1,0
374,0,-1,-1,0
375,0,-1,-1,0
376,0,-1,-1,0
377,0,-1,-1,0
378,0,-1,-1,0
379,0,-1,-1,0
380,0,-1,-1,0
381,0,-1,-1,0
382,0,-1,-1,0
383,0,-1,-1,0
384,0,-1,-1,0
385,0,-1,-1,0
386,0,-1,-1,0
387,0,-1,-1,0
388,0,-1,-1,0
389,0,-1,-1,0
390,0,-1,-1,0
391,0,-1,-1,0
392,0,-1,-1,0
393,0,-1,-1,0
394,0,-1,-1,0
395,0,-1,-1,0
396,0,-1,-1,0
397,0,-1,-1,0
398,0,-1,-1,0
399,0,-1,-1,0
400,0,-1,-1,0
401,0,-1,-1,0
402,0,-1,-1,0
403,0,-1,-1,0
404,0,-1,-1,0
405,0,-1,-1,0
406,0,-1,-1,0
407,0,-1,-1,0
408,0,-1,-1,0
409,0,-1,-1,0
410,0,-1,-1,0
411,0,-1,-1,0
412,0,-1,-1,0
413,0,-1,-1,0
414,0,-1,-1,0
415,0,-1,-1,0
416,0,-1,-1,0
417,0,-1,-1,0
418,0,-1,-1,0
419,0,-1,-1,0
420,0,-1,-1,0
